text,category,sub-category
UPPCL calling. We are installing smart meters in your area. Pay for installation.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a referral bonus. Share your friends' details.,GovernmentImpersonation,electricity
UPPCL calling. Your account is locked. Share your password to unlock.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a discount for online bill payment.,Legitimate,Legitimate
UPPCL calling. Your meter is emitting harmful radiation. Replace it immediately.,GovernmentImpersonation,electricity
UPPCL calling. We are conducting a customer satisfaction survey. Please participate.,Legitimate,Legitimate
UPPCL calling. Your bill is being processed. Pay a small fee to expedite.,GovernmentImpersonation,electricity
UPPCL calling. We are from the anti-corruption department. Pay to avoid investigation.,GovernmentImpersonation,electricity
UPPCL calling. We need to upgrade your meter for better performance.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a loyalty program. Share your Aadhar card to join.,GovernmentImpersonation,electricity
UPPCL calling. Your account is compromised. Change your password immediately.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a discount for paying through UPI.,Legitimate,Legitimate
UPPCL calling. Your meter is outdated. Replace it with a smart meter.,GovernmentImpersonation,electricity
UPPCL calling. We are conducting a customer awareness campaign.,Legitimate,Legitimate
UPPCL calling. Your bill is on hold. Pay a small fee to release it.,GovernmentImpersonation,electricity
UPPCL calling. We are from the vigilance squad. Pay to avoid inspection.,GovernmentImpersonation,electricity
UPPCL calling. We need to install a digital meter for accurate reading.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a solar panel subsidy. Share your details.,GovernmentImpersonation,electricity
UPPCL calling. Your account is blocked. Share your OTP to unblock.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a discount for paying before the due date.,Legitimate,Legitimate
UPPCL calling. Your meter is malfunctioning. Replace it for safety.,Legitimate,Legitimate
UPPCL calling. We are conducting a feedback survey. Please share your opinion.,Legitimate,Legitimate
UPPCL calling. Your bill is under review. Pay a small fee to finalize.,GovernmentImpersonation,electricity
UPPCL calling. We are from the enforcement department. Pay to avoid penalty.,GovernmentImpersonation,electricity
UPPCL calling. We need to upgrade your meter for smart grid integration.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a green energy incentive. Share your details.,GovernmentImpersonation,electricity
UPPCL calling. Your account is suspended. Share your ID to reactivate.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a discount for using e-wallets.,GovernmentImpersonation,electricity
UPPCL calling. Your meter is showing incorrect readings. Replace it urgently.,GovernmentImpersonation,electricity
UPPCL calling. We are conducting a customer service training session.,Legitimate,Legitimate
UPPCL calling. Your bill is delayed. Pay a small fee to avoid late charges.,GovernmentImpersonation,electricity
UPPCL calling. We are from the anti-theft squad. Pay to avoid investigation.,GovernmentImpersonation,electricity
UPPCL calling. We need to install a prepaid meter for better control.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a home automation discount. Share your details.,GovernmentImpersonation,electricity
UPPCL calling. Your account is deactivated. Share your credit card details.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a discount for using net banking.,GovernmentImpersonation,electricity
UPPCL calling. Your meter is vulnerable to hacking. Replace it immediately.,GovernmentImpersonation,electricity
UPPCL calling. We are conducting a water conservation awareness campaign.,Legitimate,Legitimate
UPPCL calling. Your bill is overdue. Pay a small fee to avoid legal notice.,GovernmentImpersonation,electricity
UPPCL calling. We are from the tax department. Pay to avoid audit.,GovernmentImpersonation,electricity
UPPCL calling. We need to install a high-efficiency meter for energy saving.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a tree planting incentive. Share your address.,GovernmentImpersonation,electricity
UPPCL calling. Your account is flagged for review. Share your PAN card details.,GovernmentImpersonation,electricity
UPPCL calling. We are offering a discount for using mobile wallets.,GovernmentImpersonation,electricity
UPPCL calling. Your meter is showing signs of damage. Replace it immediately.,GovernmentImpersonation,electricity
UPPCL calling. We are conducting a safety inspection of electrical appliances.,GovernmentImpersonation,electricity
